,MATERIAL_NO,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,Keywords,Search_URL,URL
28,1007542,BWIP/FLOWSERVE PUMP GROUP,668841SL,FACE,,BWIP%2FLOWSERVE PUMP GROUP+668841SL+FACE,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+668841SL+FACE'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE PUMP GROUP+668841SL+FACE
29,1007545,BWIP/FLOWSERVE PUMP GROUP,450X3750062GR,GASKET,,BWIP%2FLOWSERVE PUMP GROUP+450X3750062GR+GASKET,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+450X3750062GR+GASKET'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+450X3750062GR+GASKET
30,1007560,BWIP/FLOWSERVE SEAL GROUP,3R17165DB,SLEEVE,,BWIP%2FLOWSERVE SEAL GROUP+3R17165DB+SLEEVE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+3R17165DB+SLEEVE'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+3R17165DB+SLEEVE
31,1007561,BWIP/FLOWSERVE SEAL GROUP,3R15083DB,SLEEVE,,BWIP%2FLOWSERVE SEAL GROUP+3R15083DB+SLEEVE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+3R15083DB+SLEEVE'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE SEAL GROUP+3R15083DB+SLEEVE
32,1007570,BWIP/FLOWSERVE PUMP GROUP,668871SL,FACE,,BWIP%2FLOWSERVE PUMP GROUP+668871SL+FACE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668871SL+FACE'},https://www.grainger.com/search?searchBar=true&searchQuery=BWIP%2FLOWSERVE PUMP GROUP+668871SL+FACE
33,1007629,BWIP/FLOWSERVE SEAL GROUP,668788LV,FACE,,BWIP%2FLOWSERVE SEAL GROUP+668788LV+FACE,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+668788LV+FACE'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+668788LV+FACE
34,1007633,BWIP/FLOWSERVE SEAL GROUP,154755GE,FACE,,BWIP%2FLOWSERVE SEAL GROUP+154755GE+FACE,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+154755GE+FACE'},https://www.motionindustries.com/productCatalogSearch.jsp?q=BWIP%2FLOWSERVE SEAL GROUP+154755GE+FACE
35,1008214,DOW CORNING,34512,GREASE,,DOW CORNING+34512+GREASE,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=DOW CORNING+34512+GREASE'},https://www.motionindustries.com/productCatalogSearch.jsp?q=DOW CORNING+34512+GREASE
36,1008460,SWEPCO,NLG12,GREASE,,SWEPCO+NLG12+GREASE,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=SWEPCO+NLG12+GREASE'},https://www.motionindustries.com/productCatalogSearch.jsp?q=SWEPCO+NLG12+GREASE
37,1008470,MOBIL OIL CORP,MOBILUX EP111,GREASE,,MOBIL OIL CORP+MOBILUX EP111+GREASE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=MOBIL OIL CORP+MOBILUX EP111+GREASE'},https://www.grainger.com/search?searchBar=true&searchQuery=MOBIL OIL CORP+MOBILUX EP111+GREASE
38,1008838,FARREL CORP,251763-060-0,RING,,FARREL CORP+251763-060-0+RING,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=FARREL CORP+251763-060-0+RING'},https://www.grainger.com/search?searchBar=true&searchQuery=FARREL CORP+251763-060-0+RING
39,1009058,MOTION IND,12C5C-12MP-12FJX-60,HOSE,,MOTION IND+12C5C-12MP-12FJX-60+HOSE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=MOTION IND+12C5C-12MP-12FJX-60+HOSE'},https://www.grainger.com/search?searchBar=true&searchQuery=MOTION IND+12C5C-12MP-12FJX-60+HOSE
40,1009059,MOTION IND,16C5C-16FJX-16FJX-67,HOSE,,MOTION IND+16C5C-16FJX-16FJX-67+HOSE,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=MOTION IND+16C5C-16FJX-16FJX-67+HOSE'},https://www.motionindustries.com/productCatalogSearch.jsp?q=MOTION IND+16C5C-16FJX-16FJX-67+HOSE
41,1017700,WORTHINGTON PUMP/DRESSER RAND,390065,GASKET,,WORTHINGTON PUMP%2DRESSER RAND+390065+GASKET,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=WORTHINGTON PUMP%2DRESSER RAND+390065+GASKET'},https://www.grainger.com/search?searchBar=true&searchQuery=WORTHINGTON PUMP%2DRESSER RAND+390065+GASKET
42,1020235,HOWDEN BUFFALO INC,132155,COLLAR,,HOWDEN BUFFALO INC+132155+COLLAR,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=HOWDEN BUFFALO INC+132155+COLLAR'},https://www.motionindustries.com/productCatalogSearch.jsp?q=HOWDEN BUFFALO INC+132155+COLLAR
43,1020240,DODGE,132631,GROMMET,,DODGE+132631+GROMMET,{'MotionIndustries': 'https://www.motionindustries.com/productCatalogSearch.jsp?q=DODGE+132631+GROMMET'},https://www.motionindustries.com/productCatalogSearch.jsp?q=DODGE+132631+GROMMET
44,1020244,DODGE,133578,BAND,,DODGE+133578+BAND,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=DODGE+133578+BAND'},https://www.grainger.com/search?searchBar=true&searchQuery=DODGE+133578+BAND
45,1020246,DODGE,130059,RING,,DODGE+130059+RING,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=DODGE+130059+RING'},https://www.grainger.com/search?searchBar=true&searchQuery=DODGE+130059+RING
46,1020307,WESTINGHOUSE ELECTRIC,498D-772-G-004,SLEEVE,,WESTINGHOUSE ELECTRIC+498D-772-G-004+SLEEVE,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=WESTINGHOUSE ELECTRIC+498D-772-G-004+SLEEVE'},https://www.grainger.com/search?searchBar=true&searchQuery=WESTINGHOUSE ELECTRIC+498D-772-G-004+SLEEVE
47,1020319,WESTINGHOUSE ELECTRIC,S21B6065G27,RING,,WESTINGHOUSE ELECTRIC+S21B6065G27+RING,{'Grainger': 'https://www.grainger.com/search?searchBar=true&searchQuery=WESTINGHOUSE ELECTRIC+S21B6065G27+RING'},https://www.grainger.com/search?searchBar=true&searchQuery=WESTINGHOUSE ELECTRIC+S21B6065G27+RING
