MATERIAL_NO,MDM_MATCH,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,
1026019,Yes,GOODYEAR,5V1600,BELT,V,
1026243,Yes,GOODYEAR,5130V732,BELT,V,
1026509,No,DODGE,3V710,BELT,V,BELT|V
1031294,Yes,DAYCO PRODUCTS,4L280,BELT,V,
1034252,Yes,GOODYEAR,2/3V850,BELT,V,
1034547,Yes,GATES,3850-14MGT-85,BELT,TIMING,
1034637,No,GOODYEAR,BP53,BELT,V,BELT|V
1035070,No,GATES,468GS,BELT,V,BELT|V
1035804,No,TB WOODS,5/5V1600,BELT,V,BELT|V
1036181,No,GATES,5/3VX900,BELT,V,BELT|V
1036209,No,GATES,3/3VX630,BELT,V,BELT|V
1037180,Yes,GOODYEAR,3V1000,BELT,V,
1037443,No,TB WOODS,5VX1180,BELT,V,BELT|V
1037635,New,GOODYEAR,3VX1000,BELT,V,BELT|V
1038258,No,GOODYEAR,8/220J8,BELT,V,BELT|V
1043939,No,GATES,252000,BELT,V,BELT|V
1045394,New,GATES,A71,BELT,V,BELT|V
1052995,Yes,CARTER DAY INTERNATIONAL,413377,BELT,TIMING,
1058311,No,DAYCO PRODUCTS,2/5VX1060,BELT,V,BELT|V
1058342,No,DAYCO PRODUCTS,3360-14M-44,BELT,TIMING,BELT|TIMING
1060421,Yes,GATES,B55,BELT,V,
1060535,Yes,GATES,A32,BELT,V,
1060636,No,K-TRON,9142-70002,BELT,TIMING,BELT|TIMING
1060738,Yes,GATES,4L350,BELT,V,
1061141,Yes,GATES,C225,BELT,V,
1061174,Yes,GATES,B60,BELT,V,
1061608,New,GATES,B195,BELT,V,BELT|V
1061609,Yes,GATES,B103,BELT,V,
1061649,No,GATES,5/5VX1120,BELT,V,BELT|V
1061701,Yes,GATES,B76,BELT,V,
1061832,Yes,GATES,3VX710,BELT,V,
1062339,Yes,GATES,CX144,BELT,V,
1062431,Yes,GATES,B55,BELT,V,
1062597,Yes,GATES,B42,BELT,V,
1062598,Yes,GATES,3/B120,BELT,V,
1062991,Yes,GATES,3VX600,BELT,V,
1063361,Yes,GATES,5VX1800,BELT,V,
1063997,New,GATES,3/5VX1000,BELT,V,BELT|V
1064191,No,DODGE,107154,BELT,V,BELT|V
1064192,Yes,GATES,8V2120,BELT,V,
1064440,No,CARTER DAY INTERNATIONAL,413512,BELT,TIMING,BELT|TIMING
1064562,No,BROWNING,3L230,BELT,V,BELT|V
1065039,Yes,GATES,A51,BELT,V,
1065361,Yes,GATES,3V1120,BELT,V,
1065389,No,GATES,2322V441-EB,BELT,V,BELT|V
1065395,Yes,GATES,B53,BELT,V,
1065478,Yes,GATES,1600-8MGT-20,BELT,TIMING,
1065636,Yes,GATES,B56,BELT,V,
1065969,Yes,GATES,A68,BELT,V,
1065971,Yes,GATES,3VX670,BELT,V,
1065987,Yes,GATES,B51,BELT,V,
1065988,No,GATES,C68,BELT,V,BELT|V
1066518,Yes,GATES,BX68,BELT,V,
1066536,Yes,GATES,5VX1700,BELT,V,
1066897,Yes,,225L050,BELT,TIMING,
1067023,Yes,GATES,800-8M-12,BELT,TIMING,
1067159,Yes,GATES,A39,BELT,V,
1067269,Yes,GATES,5VX750,BELT,V,
1067409,Yes,GATES,B82,BELT,V,
1067441,Yes,GATES,2230V275,BELT,V,
1067622,Yes,GATES,BX46,BELT,V,
1067678,Yes,GATES,3L200,BELT,V,
1067916,Yes,GATES,A46,BELT,V,
1068290,Yes,GATES,5V1120,BELT,V,
1068910,No,,3/B73,BELT,V,BELT|V
1069043,Yes,INGERSOLL RAND,39158324,BELT,V,
1069109,Yes,GATES,B64,BELT,V,
1069233,Yes,GATES,2500,BELT,V,
1069380,No,COG,3360-14M-55,BELT,TIMING,BELT|TIMING
1069720,Yes,GATES,5V1250,BELT,V,
1069792,Yes,GATES,B75,BELT,V,
1070219,Yes,GATES,B62,BELT,V,
1070229,New,GATES,8V2240,BELT,V,BELT|V
1070399,New,GATES,5VX1900,BELT,V,BELT|V
1070545,Yes,GATES,BX103,BELT,V,
1070587,Yes,GATES,BX85,BELT,V,
1070865,Yes,GATES,5V2120,BELT,V,
1071019,Yes,GATES,B57,BELT,V,
1071320,Yes,GATES,5VX1500,BELT,V,
1071354,New,GATES,5VX2000,BELT,V,BELT|V
1071596,No,GATES,2/5VX670,BELT,V,BELT|V
1072145,Yes,GATES,B83,BELT,V,
1072254,Yes,GATES,A85,BELT,V,
1072328,Yes,GATES,4L600,BELT,V,
1072627,Yes,DAYCO PRODUCTS,3VX475,BELT,V,
1072628,Yes,GATES,3V530,BELT,V,
1072697,Yes,GATES,3V800,BELT,V,
1072909,No,,3360-14M-85,BELT,TIMING,BELT|TIMING
1073141,Yes,GATES,B120,BELT,V,
